acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
0,prac,1,con,0,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),154128.40000000037,banana,800,I,None,,,1800,,,1,1,4861.300000000745,149267.09999999963,7776,banana,NF,C,,,,,,,,,,1
1,prac,1,inc,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),157593.80000000075,lead,1100,I,z,,,1049,,,8,1,3461.5,154132.30000000075,7776,plum,NF,C,,,,,,,,,,2
2,prac,1,inc,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),160577.30000000075,iron,900,I,z,,,768,,,6,1,2980.2000000011176,157597.09999999963,7776,pear,NF,C,,,,,,,,,,3
3,prac,1,inc,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),163425.30000000075,copper,900,I,z,,,632,,,2,1,2843.9000000003725,160581.40000000037,7776,cherry,NF,C,,,,,,,,,,4
4,prac,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),166308.59999999963,kiwi,1000,I,z,,,566,,,7,1,2880.0999999996275,163428.5,7776,kiwi,NF,C,,,,,,,,,,5
5,prac,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),169140.80000000075,orange,1000,I,z,,,529,,,3,1,2828.7000000011176,166312.09999999963,7776,orange,NF,C,,,,,,,,,,6
6,prac,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),172006.59999999963,plum,1100,I,m,,,454,,,16,1,2862.2999999988824,169144.30000000075,7776,lead,NF,C,,,,,,,,,,7
7,prac,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),174738.19999999925,lime,800,I,z,,,623,,,5,1,2728.39999999851,172009.80000000075,7776,lime,NF,C,,,,,,,,,,8
8,prac,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),177554.30000000075,zinc,1000,I,m,,,508,,,15,1,2812.7000000011176,174741.59999999963,7776,zinc,NF,C,,,,,,,,,,9
9,prac,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),180437.59999999963,silver,1000,I,m,,,596,,,11,1,2879.9000000003725,177557.69999999925,7776,silver,NF,C,,,,,,,,,,10
10,prac,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),183169.40000000037,pear,900,I,m,,,533,,,14,1,2728.5999999996275,180440.80000000075,7776,iron,NF,C,,,,,,,,,,11
11,prac,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),185901.30000000075,cherry,900,I,m,,,519,,,10,1,2728.300000000745,183173.0,7776,copper,NF,C,,,,,,,,,,12
12,prac,1,inc,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),188933.69999999925,cobalt,1100,I,z,,,629,,,4,1,3029.0999999996275,185904.59999999963,7776,raisin,NF,C,,,,,,,,,,13
13,prac,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),191483.09999999963,bronze,800,I,m,,,447,,,9,1,2546.4000000003725,188936.69999999925,7776,bronze,NF,C,,,,,,,,,,14
14,prac,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),194433.30000000075,raisin,1100,I,m,,,543,,,12,1,2946.9000000003725,191486.40000000037,7776,cobalt,NF,C,,,,,,,,,,15
15,prac,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),196981.40000000037,gold,800,I,m,,,446,,,13,1,2544.300000000745,194437.09999999963,7776,gold,NF,C,,,,,,,,,,16
1,test,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),216475.09999999963,orange,800,I,z,z,None,601,401.0,200.0,17,1,1946.0,214529.09999999963,7776,orange,NF,C,206839,206839,205309,206123,205310,207255,206639,206639,207255,1
2,test,1,inc,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),218641.19999999925,cobalt,1100,I,z,z,None,527,327.0,200.0,8,1,2162.89999999851,216478.30000000075,7776,banana,NF,C,209088,209088,207258,208372,207259,209421,208888,208888,209421,2
3,test,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),220723.5,orange,1000,I,m,m,None,541,336.0,205.0,71,1,2078.300000000745,218645.19999999925,7776,bronze,NF,C,211159,211159,209425,210438,209425,211504,210954,210954,211503,3
4,test,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),222890.80000000075,raisin,1100,I,m,m,None,533,334.0,199.0,80,1,2164.300000000745,220726.5,7776,copper,NF,C,213337,213337,211507,212621,211507,213671,213137,213137,213671,4
5,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),224922.19999999925,copper,1100,I,m,m,None,383,183.0,200.0,76,1,2028.3999999985099,222893.80000000075,7776,copper,NF,C,215504,215504,213674,214786,213674,215702,215303,215303,215702,5
6,test,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),227038.80000000075,orange,1100,I,z,z,None,470,270.0,200.0,20,1,2113.60000000149,224925.19999999925,7776,orange,NF,C,217537,217537,215705,216821,215705,217819,217336,217336,217819,6
7,test,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),229103.69999999925,pear,1000,I,z,z,None,519,319.0,200.0,43,1,2061.699999999255,227042.0,7776,pear,NF,C,219552,219552,217822,218836,217822,219884,219352,219352,219884,7
8,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),230870.80000000075,bronze,800,I,m,m,None,420,220.0,200.0,65,1,1764.1000000014901,229106.69999999925,7776,bronze,NF,C,221419,221419,219887,220701,219887,221651,221218,221218,221651,8
9,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),232637.09999999963,copper,800,I,m,m,None,423,224.0,199.0,73,1,1763.5,230873.59999999963,7776,copper,NF,C,223183,223183,221654,222467,221654,223417,222984,222984,223417,9
10,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),234370.30000000075,cobalt,800,I,m,m,None,409,210.0,199.0,89,1,1730.4000000003725,232639.90000000037,7776,cobalt,NF,C,224933,224933,223420,224233,223420,225150,224734,224734,225150,10
11,test,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),236535.59999999963,raisin,1100,I,m,m,None,521,321.0,200.0,72,1,2161.7999999988824,234373.80000000075,7776,bronze,NF,C,226983,226983,225154,226266,225154,227316,226782,226782,227316,11
12,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),238418.19999999925,bronze,900,I,m,m,None,433,218.0,215.0,66,1,1879.5,236538.69999999925,7776,bronze,NF,C,228965,228965,227319,228233,227319,229198,228750,228750,229198,12
13,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),240468.90000000037,iron,1100,I,m,m,None,407,208.0,199.0,108,1,2046.9000000003725,238422.0,7776,iron,NF,C,231031,231031,229202,230315,229202,231249,230832,230832,231249,13
14,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),242333.40000000037,gold,900,I,m,m,None,422,222.0,200.0,98,1,1861.2000000011176,240472.19999999925,7776,gold,NF,C,232881,232881,231252,232164,231252,233113,232681,232681,233113,14
15,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),244200.09999999963,iron,900,I,m,m,None,432,220.0,212.0,106,1,1863.7999999988824,242336.30000000075,7776,iron,NF,C,234747,234747,233116,234030,233117,234980,234535,234535,234980,15
16,test,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),246083.0,banana,900,I,z,z,None,442,243.0,199.0,2,1,1879.4000000003725,244203.59999999963,7776,banana,NF,C,236612,236612,234984,235896,234984,236863,236413,236413,236863,16
17,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),247964.90000000037,copper,900,I,m,m,None,440,240.0,200.0,74,1,1878.800000000745,246086.09999999963,7776,copper,NF,C,238496,238496,236866,237779,236866,238745,238296,238296,238745,17
18,test,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),250082.19999999925,orange,1000,I,m,m,None,567,368.0,199.0,95,1,2114.39999999851,247967.80000000075,7776,cobalt,NF,C,240478,240479,238748,239762,238748,240862,240279,240279,240862,18
19,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),252048.30000000075,gold,800,I,m,m,None,637,438.0,199.0,97,1,1963.300000000745,250085.0,7776,gold,NF,C,242377,242378,240865,241677,240865,242828,242178,242178,242828,19
20,test,1,inc,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),254113.09999999963,pear,900,I,m,m,None,626,426.0,200.0,102,1,2061.9000000003725,252051.19999999925,7776,gold,NF,C,244461,244461,242831,243744,242832,244893,244261,244261,244893,20
21,test,1,con,1,m,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),255995.80000000075,cobalt,900,I,m,m,None,440,240.0,200.0,90,1,1879.300000000745,254116.5,7776,cobalt,NF,C,246527,246527,244897,245809,244897,246776,246326,246326,246776,21
22,test,1,con,1,z,Tue Mar 10 2026 13:37:05 GMT-0500 (Central Daylight Time),257961.80000000075,cherry,900,I,z,z,None,533,334.0,199.0,10,1,1962.0,255999.80000000075,7776,cherry,NF,C,248393,248393,246780,247692,246780,248742,248193,248193,248742,22
