Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),227436.80000007153,O,None,2016,1,1,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10829.200000047684,216607.60000002384,7237,yes,SM,B,16.bmp,-120,-120,220584,214555,222600,216569,,,,,1
3,0,0,1,0,1,prac,1,1,m,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),237900.30000007153,O,m,1641,2,1,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10458.700000047684,227441.60000002384,7237,no,SM,B,23.bmp,-120,120,231414,225389,233431,227400,,,,,2
4,0,0,0,1,2,prac,1,1,m,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),248179.30000007153,O,m,1456,3,1,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,10276.600000023842,237902.70000004768,7237,no,SM,B,24.bmp,120,120,241878,235850,243895,237863,,,,,3
2,0,1,0,0,3,prac,1,1,z,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),257976.80000007153,O,z,976,4,1,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,9795.300000071526,248181.5,7237,yes,SM,B,29.bmp,120,-120,252158,246129,254174,248142,,,,,4
3,0,0,1,0,4,prac,1,1,z,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),268639.60000002384,O,z,1836,5,1,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,10659.899999976158,257979.70000004768,7237,yes,SM,B,34.bmp,-120,120,261955,255927,263971,257940,,,,,5
1,1,0,0,0,5,prac,1,1,m,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),278720.0,O,m,1260,6,1,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,10078.399999976158,268641.60000002384,7237,no,SM,B,39.bmp,-120,-120,272618,266589,274634,268603,,,,,6
2,0,1,0,0,6,prac,1,1,m,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),288566.5,O,m,1029,7,1,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,9844.299999952316,278722.2000000477,7237,no,SM,B,40.bmp,120,-120,282698,276669,284714,278682,,,,,7
4,0,0,0,1,7,prac,1,1,z,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),298513.2000000477,O,z,1118,8,1,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,9944.700000047684,288568.5,7237,yes,SM,B,47.bmp,120,120,292545,286516,294561,288529,,,,,8
4,0,0,0,1,1,test,1,1,m,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),359560.3000000715,O,m,969,1,1,48.bmp,-120,-120,49.bmp,120,-120,50.bmp,-120,120,43.bmp,120,120,9028.300000071526,350532.0,7237,yes,SM,B,50.bmp,120,120,292545,286516,294561,288529,354509.0,348479.0,356525.0,350494.0,1
2,0,1,0,0,2,test,1,1,m,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),368973.39999997616,O,m,1364,2,1,1.bmp,-120,-120,2.bmp,120,-120,3.bmp,-120,120,4.bmp,120,120,9410.399999976158,359563.0,7237,yes,SM,B,3.bmp,120,-120,292545,286516,294561,288529,363538.0,357510.0,365555.0,359523.0,2
1,1,0,0,0,3,test,1,1,z,Fri Nov 14 2025 17:53:16 GMT-0600 (Central Standard Time),377904.5,O,z,870,3,1,5.bmp,-120,-120,6.bmp,120,-120,7.bmp,-120,120,8.bmp,120,120,8928.399999976158,368976.10000002384,7237,yes,SM,B,5.bmp,-120,-120,292545,286516,294561,288529,372953.0,366923.0,374969.0,368937.0,3
