Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),145484.59999999776,I,z,1241,1,1,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10060.099999997765,135424.5,9028,yes,SM,C,66.bmp,-120,-120,139836,133810,141853,135820,,,,,1
3,0,0,1,0,1,prac,1,0,m,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),156317.5,I,None,2016,2,1,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10825.0,145492.5,9028,no,SM,C,73.bmp,-120,120,149903,143878,151920,145886,,,,,2
4,0,0,0,1,2,prac,1,1,m,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),166500.8999999985,I,m,1365,3,1,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10174.39999999851,156326.5,9028,no,SM,C,74.bmp,120,120,160736,154712,162753,156720,,,,,3
2,0,1,0,0,3,prac,1,1,z,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),176567.5,I,z,1247,4,1,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10058.70000000298,166508.79999999702,9028,yes,SM,C,79.bmp,120,-120,170919,164894,172936,166903,,,,,4
3,0,0,1,0,4,prac,1,1,z,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),186834.29999999702,I,z,1435,5,1,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,10259.5,176574.79999999702,9028,yes,SM,C,84.bmp,-120,120,180986,174960,183003,176970,,,,,5
1,1,0,0,0,4,prac,1,0,m,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),196800.79999999702,I,z,1137,6,1,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,9956.199999999255,186844.59999999776,9028,no,SM,C,89.bmp,-120,-120,191252,185230,193269,187235,,,,,6
2,0,1,0,0,5,prac,1,1,m,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),207067.3999999985,I,m,1442,7,1,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10254.89999999851,196812.5,9028,no,SM,C,90.bmp,120,-120,201219,195198,203236,197203,,,,,7
4,0,0,0,1,6,prac,1,1,z,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),217250.8999999985,I,z,1351,8,1,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10173.300000000745,207077.59999999776,9028,yes,SM,C,97.bmp,120,120,211486,205463,213503,207470,,,,,8
4,0,0,0,1,0,test,1,0,m,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),246183.69999999925,I,None,2016,1,1,98.bmp,-120,-120,99.bmp,120,-120,100.bmp,-120,120,93.bmp,120,120,10060.10000000149,236123.59999999776,9028,yes,SM,C,100.bmp,120,120,211486,205463,213503,207470,240536.0,234509.0,242552.0,236520.0,1
2,0,1,0,0,1,test,1,1,m,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),255934.5,I,m,1689,2,1,51.bmp,-120,-120,52.bmp,120,-120,53.bmp,-120,120,54.bmp,120,120,9741.300000000745,246193.19999999925,9028,yes,SM,C,53.bmp,120,-120,211486,205463,213503,207470,250602.0,244579.0,252620.0,246586.0,2
1,1,0,0,0,2,test,1,1,z,Mon Oct 06 2025 16:33:29 GMT-0400 (Eastern Daylight Time),265000.5,I,z,1012,3,1,55.bmp,-120,-120,56.bmp,120,-120,57.bmp,-120,120,58.bmp,120,120,9060.60000000149,255939.8999999985,9028,yes,SM,C,55.bmp,-120,-120,211486,205463,213503,207470,260352.0,254325.0,262369.0,256336.0,3
